,URL 주소,댓글작성자명,댓글작성일자,댓글 내용
0,https://youtube.com/watch?v=-nmRATVHBws&pp=ygUM66Gv642w7JuU65Oc,SSKim,2일 전,또라이 한 명이 여러 사람 힘들게 하네요. 법대로 처벌하십시오.
1,https://youtube.com/watch?v=-nmRATVHBws&pp=ygUM66Gv642w7JuU65Oc,흰백합,1일 전,"외국인에게 후한
사대주의 정신에서 벗어났다는것을 보여주기 위해서도 공정한 처벌을
마땅한 처벌을 꼭 해주시고
구급대원및 구급차동원에 따른 비용을 청구해주시기 바랍니다"
2,https://youtube.com/watch?v=-nmRATVHBws&pp=ygUM66Gv642w7JuU65Oc,js lee,2일 전,우리나라 소방대원들이 얼마나 바쁘고 수고가 많으신데 이런일이 일어나다니 정말 안타깝습니다.
3,https://youtube.com/watch?v=-nmRATVHBws&pp=ygUM66Gv642w7JuU65Oc,HONEY RAT,1일 전,아니 저런 짓 영미권 국가에서 하면 징역 살지 않나요??? 이게 무슨 미친 짓인건지 강력하게 처벌 해주세요
4,https://youtube.com/watch?v=-nmRATVHBws&pp=ygUM66Gv642w7JuU65Oc,I'm real,2일 전(수정됨),무단으로 올라간 저 외국인 때문에 출동한 사람만 90여명입니다... 만약 그 사이에 다른 곳에서 정말 긴급하게 구조가 필요한 상황이 왔고 저 사건 때문에 출동 인원이 부족해지는 상황이 발생했다면... 저 외국인은 그걸 생각하지 못한 게 가장 큰 죄입니다
5,https://youtube.com/watch?v=-nmRATVHBws&pp=ygUM66Gv642w7JuU65Oc,흑기린,1일 전,"이런건 처벌이 아니라 출동장비 출동인원 비용 다 자기기 물게 해야함. 저런놈들 때문에 진짜 필요한 사람들이 도움
못받을 수도 있음."
6,https://youtube.com/watch?v=-nmRATVHBws&pp=ygUM66Gv642w7JuU65Oc,독설,2일 전,"허가도 안받고 안전장비도 없이 저런 무모한 짓을 하는 외국인 1명때문에 소방대원 그외 장비들 인력이 얼마나 낭비된거야.
조사만 하고 바로 추방시키고
다시는 입국못하게 영구입국금지라는
처벌도 해줍시다."
7,https://youtube.com/watch?v=-nmRATVHBws&pp=ygUM66Gv642w7JuU65Oc,야임마,2일 전,외국인에다가 그것도 소방대원 90명이라니.. 그시간동안 위험에 있을 국민들도 있을텐데.. 정말 진짜 한심한 사람이네요… 소방대원님들 언제나 건강하세여!!
8,https://youtube.com/watch?v=-nmRATVHBws&pp=ygUM66Gv642w7JuU65Oc,Shin Alex,2일 전,다른 위급한 일에도 바쁘고 부족한 소방관들 인력이 이렇게 낭비되다니 반드시 대가를 치르게 해야합니다
9,https://youtube.com/watch?v=-nmRATVHBws&pp=ygUM66Gv642w7JuU65Oc,이윤서,23시간 전,화가나네요 우리소방대원들이 왜 저고생을 해야하는건지ㅜ제대로된 처벌바랍니다
10,https://youtube.com/watch?v=-nmRATVHBws&pp=ygUM66Gv642w7JuU65Oc,몽실이,2일 전,장비 동원과 공무원 인력동원에 대한 구상권을 꼭 청구하길 바란다. 우리 국민 세금을 저딴것들한테 저런식으로 쓰라고 있는것이 아니다
11,https://youtube.com/watch?v=-nmRATVHBws&pp=ygUM66Gv642w7JuU65Oc,Roco,1일 전,"저러다가 떨어져 죽으면 본인이야 상관없지만 타인에게 피해를 주는건데, 미친놈들이 너무 많다..."
12,https://youtube.com/watch?v=-nmRATVHBws&pp=ygUM66Gv642w7JuU65Oc,肉人間,2일 전,"저런 인간도 생명이라고 1시간 넘게 노심초사하신 소방대원분들, 존경스럽습니다."
13,https://youtube.com/watch?v=-nmRATVHBws&pp=ygUM66Gv642w7JuU65Oc,맥프린스,2일 전,"처벌을 강하게 해야 또다시 이런 일이 안 일어납니다.
한 사람 때문에 수십명의 인력낭비가 있었을 뿐만 아니라 그 사이 다른 응급상황이 있었다면 제대로 대처를 못해서 큰 봉변이 있었을 수도 있으니. . ."
